Estimate,id
1216,449
1216,450
1217,451
1217,452
1217,453
1217,454
1218,455
1218,456
1218,457
1218,458
1218,459
1218,460
1218,461
1218,462
1218,463
1218,464
1218,465
1218,466
1218,467
1218,468
1219,469
1219,470
1219,471
1219,472
1219,473
1219,474
1219,475
1219,476
1220,477
1220,478
1220,479
1220,480
1220,481
1220,482
1221,483
1221,484
1221,485
1221,486
1221,487
1221,488
1221,489
1221,490
1221,491
1221,492
1222,493
1222,494
1222,495
1222,496
1222,497
1223,498
1223,499
1223,500
1223,501
1224,502
1224,503
1224,504
1224,505
1224,506
1224,507
1224,508
1225,509
1225,510
1225,511
1225,512
1225,513
1225,514
1225,515
1225,516
1226,517
1226,518
1226,519
1226,520
1226,521
1226,522
1226,523
1226,524
1227,525
1227,526
1227,527
1227,528
1228,529
1228,530
1228,531
1228,532
1228,533
1228,534
1229,535
1229,536
1229,537
1229,538
1229,539
1229,540
1230,541
1230,542
1230,543
1230,544
1230,545
1230,546
1230,547
1230,548
1230,549
1230,550
1231,551
1231,552
1231,553
1231,554
1231,555
1231,556
1231,557
1231,558
1231,559
1231,560
1231,561
1231,562
1231,563
1232,564
1232,565
1232,566
1232,567
1232,568
1232,569
1233,570
1233,571
1233,572
1233,573
1233,574
1234,575
1234,576
1234,577
1234,578
1234,579
1235,580
1235,581
1235,582
1235,583
1235,584
1235,585
1235,586
1235,587
1235,588
1236,589
1236,590
1236,591
1236,592
1236,593
1236,594
1237,595
1238,596
1238,597
1238,598
1239,599
1239,600
1239,601
1239,602
1239,603
1239,604
1239,605
1239,606
1239,607
1239,608
1239,609
1240,610
1240,611
1240,612
1241,613
1241,614
1241,615
1242,616
1242,617
1242,618
1242,619
1242,620
1242,621
1242,622
1242,623
1242,624
1242,625
1243,626
1243,627
1243,628
1243,629
1244,630
1244,631
1245,632
1245,633
1245,634
1245,635
1245,636
1245,637
1246,638
1246,639
1246,640
1246,641
1246,642
1246,643
1246,644
1247,645
1247,646
1247,647
1248,648
1248,649
1248,650
1249,651
1249,652
1249,653
1249,654
1249,655
1251,656
1252,657
1252,658
1252,659
1252,660
1252,661
1252,662
1253,663
1253,664
1253,665
1254,666
1254,667
1254,668
1255,669
1256,670
1257,671
1258,672
1259,673
1260,674
1260,675
1260,676
1260,677
1260,678
1261,679
1261,680
1261,681
1261,682
1262,683
1262,684
1263,685
1263,686
1263,687
1263,688
1263,689
1263,690
1263,691
1264,692
1265,693
1265,694
1266,695
1266,696
1266,697
1267,698
1267,699
1267,700
1267,701
1267,702
1268,703
1268,704
1268,705
1269,706
1269,707
1270,708
1270,709
1270,710
1271,711
1271,712
1271,713
1271,714
1271,715
1272,716
1272,717
1272,718
1273,719
1273,720
1274,721
1274,722
1274,723
1275,724
1276,725
1276,726
1278,727
1278,728
1279,729
1280,730
1280,731
1281,732
1282,733
1285,734
1285,735
1286,736
1287,737
1287,738
1287,739
1289,740
1291,741
1292,742
1292,743
1292,744
1293,745
1293,746
1293,747
1293,748
1295,749
1295,750
1295,751
1296,752
1300,753
1302,754
1302,755
1302,756
1302,757
1303,758
1304,759
1304,760
1309,761
1314,762
1314,763
1318,764
1319,765
1320,766
1320,767
1323,768
1325,769
1325,770
1331,771
1340,772
1340,773
1347,774
1358,775
1359,776
1372,777
1374,778
1384,779
1415,780
1432,781
1435,782
1440,783
1471,784
1484,785
1494,786
1516,787
